moveCondition,name,xIfNoGravityPredictError,yIfNoGravityPredictError,xIfGravityPredictError,yIfGravityPredictError
gravity,idNum_1_2024_03_31_14_22_44,-0.06837429376780416,-1.3262108262108268,-0.003655676061302391,0.44045847170549074
gravity,idNum_1_2024_03_31_19_01_00,-0.02357311862607375,-1.2311965811965817,0.07002604555004723,0.4606968827943581
gravity,idNum_2_2024_03_31_14_49_32,0.006646352778665873,-1.602421652421653,0.06555001128252279,0.13537199944149453
gravity,idNum_2_2024_03_31_18_52_59,-0.0193336573280705,-1.558404558404559,-0.09240638342117595,0.25454973480889415
gravity,idNum_3_2024_03_31_15_03_55,0.05295325150949304,-1.305555555555556,0.05461249297687301,0.4725568515542687
gravity,idNum_3_2024_03_31_19_04_36,-0.0660656226405564,-1.4339031339031343,-0.027133808231633492,0.31952885829858607
gravity,idNum_4_2024_03_31_14_58_33,0.05406911534672313,-1.9500000000000004,0.06760278024554851,-0.05919378182953614
gravity,idNum_4_2024_03_31_19_38_20,-0.058954078044048376,-1.6471509971509977,-0.01702098547855796,0.1864703516540164
gravity,idNum_5_2024_03_31_16_01_25,0.022892856418484698,-0.9849002849002855,0.049235434131559515,0.8574637326494372
gravity,idNum_6_2024_03_31_16_06_21,-0.019173109201279164,-1.523361823361824,0.06094346441739399,0.35594086790764573
noGravity,idNum_1_2024_03_31_14_22_44,0.000306814561444585,0.1648960437038384,-0.018371554314920838,3.215785642360156
noGravity,idNum_1_2024_03_31_19_01_00,0.02559203214029905,-0.06886660831547665,0.037694973981717624,3.010479926654931
noGravity,idNum_2_2024_03_31_14_49_32,0.019384689270900625,-0.20043020906877,0.028136537060349295,2.8824543800119318
noGravity,idNum_2_2024_03_31_18_52_59,0.003865386511724231,-0.04149201905535336,-0.0029943418310751117,3.0409261971785644
noGravity,idNum_3_2024_03_31_15_03_55,0.08615519044694779,0.009037192851862141,0.0744782387941859,3.079423006649228
noGravity,idNum_3_2024_03_31_19_04_36,-0.009424528471078332,-0.11751047035861187,-0.02463827388380725,2.9553870811262164
noGravity,idNum_4_2024_03_31_14_58_33,0.008986589976786462,0.24556292812867617,0.01203688846892815,3.3167849663833233
noGravity,idNum_4_2024_03_31_19_38_20,-0.03247727718202943,-0.03307230236388241,-0.018993153248487524,3.0494531437006893
noGravity,idNum_5_2024_03_31_16_01_25,-0.08935125537760576,0.27494320744993234,-0.10304848587309276,3.356295386202033
noGravity,idNum_6_2024_03_31_16_06_21,0.016334305318149958,-0.1397678763907907,0.03944368154273405,2.9132928701210443
horizontalMove,idNum_1_2024_03_31_14_22_44,-0.1400540152409655,-0.023076923076923484,-0.1400540152409655,-0.023076923076923484
horizontalMove,idNum_1_2024_03_31_19_01_00,0.029555062523222087,-0.014102564102564673,0.029555062523222087,-0.014102564102564673
horizontalMove,idNum_2_2024_03_31_14_49_32,0.034364849443280596,0.026068376068375552,0.034364849443280596,0.026068376068375552
horizontalMove,idNum_2_2024_03_31_18_52_59,-0.24979391380363292,-0.05940170940170995,-0.24979391380363292,-0.05940170940170995
horizontalMove,idNum_3_2024_03_31_15_03_55,0.023247217977971836,0.002564102564102,0.023247217977971836,0.002564102564102
horizontalMove,idNum_3_2024_03_31_19_04_36,-0.036490771126831655,0.004700854700854129,-0.036490771126831655,0.004700854700854129
horizontalMove,idNum_4_2024_03_31_14_58_33,-0.036274324958866365,0.0209401709401704,-0.036274324958866365,0.0209401709401704
horizontalMove,idNum_4_2024_03_31_19_38_20,0.014025634720281396,0.005982905982905495,0.014025634720281396,0.005982905982905495
horizontalMove,idNum_5_2024_03_31_16_01_25,-0.1520129598201003,-0.016239316239316803,-0.1520129598201003,-0.016239316239316803
horizontalMove,idNum_6_2024_03_31_16_06_21,0.17593897688789473,-0.010256410256410753,0.17593897688789473,-0.010256410256410753
